obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion,genero,origen
"101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,No,Sí,90,Comedia,Creación Propia
Aladdín,Stage Entertainment,2023,2025,Teatro Coliseum,No,No,145,Familiar,Franquicia
Anastasia,Stage Entertainment,2018,2020,Teatro Coliseum,No,No,95,Familiar,Franquicia
Annie,Theatre Properties,2010,2011,Nuevo Alcalá,No,No,120,Familiar,Franquicia
Avenue Q,SMedia,2010,2011,Nuevo Apolo,No,No,135,Comedia,Franquicia
Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,No,Sí,135,Comedia,Franquicia
Billy Elliot,ATG Entertainment,2017,2020,Nuevo Teatro Alcalá,Sí,No,150,Drama,Franquicia
Cabaret,Let's Go Company,2025,,Albéniz,No,Sí,150,Drama,Franquicia
Cantando bajo la lluvia,Nostromo live,2021,2023,Tívoli,Sí,No,150,Comedia,Franquicia
Cenicienta,Stage Entertainment,2025,,Coliseum,No,Sí,145,Familiar,Franquicia
Charlie y la fábrica de chocolate,Let's Go Company,2021,2022,Espacio Ibercaja Delicias,Sí,No,150,Familiar,Franquicia
Chicago,ATG Entertainment,2023,2025,Teatro Apolo,Sí,No,140,Comedia,Franquicia
Come from away,The Stage Company,2024,2025,Marquina,No,No,100,Drama,Franquicia
Company,Teatro del Soho S.L.,2021,2023,Del Soho,No,No,170,Comedia,Franquicia
Dirty Dancing,Let's Go Company,2018,2023,Teatro Nuevo Alcalá,Sí,No,145,Drama,Franquicia
El Día de la Marmota,Nostromo Live,2024,2025,Teatro Coliseum (BCN),No,No,150,Comedia,Franquicia
El Fantasma de la Ópera,Let's Go Company,2023,,UMusic Hotel Teatro Albéniz,Sí,Sí,150,Drama,Franquicia
El Guardaespaldas,Stage Entertainment,2017,2018,Teatro Coliseum,Sí,No,150,Drama,Franquicia
El Jovencito Frankenstein,Let's Go Company,2018,2019,Teatro Gran Vía,No,No,135,Comedia,Franquicia
El Médico,Beon Entertainment,2018,2023,Teatro Nuevo Apolo,Sí,No,180,Drama,Creación Propia
El Rey León,Stage Entertainment,2011,,Teatro Lope de Vega,No,Sí,165,Familiar,Franquicia
El Tiempo entre Costuras,Beon Entertainment,2021,2024,Teatro Principal de Zaragoza,Sí,No,150,Drama,Creación Propia
El ascensor,Actor’s First.,2017,2018,Pavón,Sí,No,70,Comedia,Creación Propia
El último jinete,Arabian Horses Production LTD,2012,2013,Teatros del Canal,No,No,130,Drama,Creación Propia
En tierra extraña,ATG Entertainment,2021,2023,Español,Sí,No,100,Drama,Creación Propia
