obra,genero,origen
"101 Dálmatas, el musical",comedia,creacion propia
Aladdín,familiar,franquicia
Anastasia,familiar,franquicia
Annie,familiar,franquicia
Avenue Q,comedia,franquicia
Billy Elliot,drama,franquicia
Cabaret,drama,franquicia
Cantando bajo la lluvia,comedia,franquicia
Cenicienta,familiar,franquicia
Charlie y la fábrica de chocolate,familiar,franquicia
Chicago,comedia,franquicia
Come from away,drama,franquicia
Company,comedia,franquicia
Dirty Dancing,drama,franquicia
El Día de la Marmota,comedia,franquicia
El Fantasma de la Ópera,drama,franquicia
El Guardaespaldas,drama,franquicia
El Jovencito Frankenstein,comedia,franquicia
El Médico,Drama,creacion propia
El Rey León,Familiar,franquicia
El Tiempo entre Costuras,drama,creacion propia
El ascensor,comedia,creacion propia
,,
El último jinete,drama,creación propia
En tierra extraña,drama,creación propia
Flashdance,drama,franquicia
Follies,comedia,franquicia
Forever Young,comedia,creación propia
"Ghost, el musical",drama,franquicia
Golfus de Roma,comedia,franquicia
Grease,comedia,franquicia
Gypsy,drama,franquicia
Hair,drama,franquicia
Houdini,biografico,franquicia
Kinky Boots,comedia,franquicia
La Alegría que Pasa,drama,creación propia
La Familia Addams,familiar,franquicia
La Historia Interminable,familiar,creación propia
La Jaula de las Locas,comedia,franquicia
La Llamada,Comedia,Creación propia
La bella y la bestia,Familiar,franquicia
,,
"La movida,el musical",Jukebox,creación propia
Los Miserables,drama,franquicia
Los Pilares de la Tierra,drama,creación propia
Los Productores,Comedia,franquicia
,,
Los puentes de Madison,drama,Franquicia
Malinche,drama,creación propia
Mamma Mia!,Jukebox,franquicia
Mari i Cel,drama,creación propia
Marta tiene un marcapasos,Jukebox,creación propia
Mas de 100 mentiras,Jukebox,creación propia
Matilda,Familiar,franquicia
My fair lady,comedia,franquicia
Pegados,comedia,creación propia
"Priscilla, reina del desierto",comedia,franquicia
Quien mató a Sherlock Holmes?,comedia,creación propia
"Romeo y Julieta, el musical",drama,franquicia
School of Rock,comedia,franquicia
Sister Act,comedia,franquicia
Sonrisas y lágrimas,Familiar,franquicia
The Book of Mormon,Comedia,franquicia
,,
The Hole,jukebox,creación propia
The full monty,comedia,franquicia
Tina,drama,franquicia
Tocando nuestra canción,comedia,franquicia
Una rubia muy legal,comedia,franquicia
We Will Rock You,Jukebox,franquicia
