obra,productora,anio_inicio,anio_fin,teatro,ciudad_principal,gira,fuente_url,activa
"101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://www.granteatrocaixabankprincipepio.com/,True
Aladdín,Stage Entertainment,2023,2025.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/aladdin/,False
Anastasia,Stage Entertainment,2018,2020.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/anastasia/,False
Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,Madrid,No,https://es.wikipedia.org/wiki/Avenue_Q,True
Billy Elliot,SOM Produce,2017,2020.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/billy-elliot/,False
Cabaret,Let's Go Company,2025,,Albéniz,Madrid,No,fuente: observación personal,True
Cabaret,Stage Entertainment,2006,2007.0,Teatro Nuevo Alcalá,Madrid,Sí,https://es.wikipedia.org/wiki/Cabaret_(musical)#Producciones_en_España,False
Cats,Stage Entertainment,2003,2005.0,Teatro Lope de Vega,Madrid,No,https://www.stage.es/musicales/cats,False
Cenicienta,Stage Entertainment,2025,,Coliseum,Madrid,No,fuente: observación personal,True
Charlie y la fábrica de chocolate,Let's Go Company,2021,2022.0,Espacio Ibercaja Delicias,Madrid,Sí,https://www.teatroalamedia.com/charlie-y-la-fabrica-de-chocolate/,False
Chicago,SOM Produce,2023,2025.0,Teatro Apolo,Madrid,Sí,https://somproduce.com/musicales/chicago/,False
Chicago,Stage Entertainment,2009,2010.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/Chicago_(musical)#Producciones_en_España,False
Dirty Dancing,Let's Go Company,2018,2023.0,Teatro Nuevo Alcalá,Madrid,Sí,https://www.entradas.com/artist/dirty-dancing/,False
El Día de la Marmota,Nostromo Live,2024,2025.0,Teatro Coliseum (BCN),Barcelona,No,https://www.nostromolive.com/espectaculos/el-dia-de-la-marmota/,False
El Fantasma de la Ópera,Let's Go Company,2023,,UMusic Hotel Teatro Albéniz,Madrid,Sí,https://www.stage-entertainment.es/musicales/el-fantasma-de-la-opera,True
El Fantasma de la Ópera,Stage Entertainment,2002,2004.0,Teatro Lope de Vega,Madrid,No,https://www.stage-entertainment.es/musicales/el-fantasma-de-la-opera,False
El Guardaespaldas,Stage Entertainment,2017,2018.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/El_Guardaespaldas_(musical)#Producciones,False
El Jovencito Frankenstein,Let's Go Company,2018,2019.0,Teatro Gran Vía,Madrid,No,https://letsgo.es/espectaculos/el-jovencito-frankenstein/,False
El Médico,Beon Entertainment,2018,2023.0,Teatro Nuevo Apolo,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-medico-el-musical/,False
El Rey León,Stage Entertainment,2011,,Teatro Lope de Vega,Madrid,No,https://www.stage.es/musicales/el-rey-leon/,True
El Tiempo entre Costuras,Beon Entertainment,2021,2024.0,Teatro Principal de Zaragoza,Madrid,Sí,https://www.beonworldwide.com/proyectos/el-tiempo-entre-costuras/,False
"Fama, el Musical",SOM Produce,2004,2006.0,Teatro Rialto,Madrid,Sí,https://es.wikipedia.org/wiki/Fama_(musical),False
Fiebre del sábado noche,Stage Entertainment,2009,2009.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/Saturday_Night_Fever_(musical),False
"Ghost, el musical",Let's Go Company,2019,2024.0,Teatro EDP Gran Vía,Madrid,Sí,https://www.lacoctelera.com/ghost-el-musical/,False
Grease,SOM Produce,2021,2023.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/grease/,False
High School Musical,Stage Entertainment,2008,2009.0,Teatro Lope de Vega,Madrid,Sí,https://es.wikipedia.org/wiki/High_School_Musical_(musical)#Producciones,False
Houdini,Let's Go Company,2025,,Teatro Calderón,Madrid,No,https://www.houdinielmusical.com/,True
Hoy no me puedo levantar,Drive Entertainment,2005,2017.0,Teatro Rialto / Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/Hoy_no_me_puedo_levantar_(musical),False
Jesucristo Superstar,Stage Entertainment,2007,2008.0,Teatro Lope de Vega,Madrid,Sí,https://es.wikipedia.org/wiki/Jesucristo_Superestrella_(musical)#Producciones,False
Kinky Boots,Let's Go Company,2021,2022.0,Espacio Delicias / Teatro Calderón,Madrid,No,https://es.wikipedia.org/wiki/Kinky_Boots_(musical),False
Kinky Boots,Theatre Properties,2024,2025.0,Teatro Rialto,Gira,Sí,https://theatreproperties.com/kinky-boots/,False
La Alegría que Pasa,Dagoll Dagom,2022,2023.0,Teatre Poliorama,Barcelona,Sí,https://www.dagolldagom.com/espectacle/la-alegria-que-pasa/,False
La Bella y la Bestia,Stage Entertainment,1999,2002.0,Teatro Lope de Vega,Madrid,No,https://es.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),False
La Familia Addams,Let's Go Company,2017,2018.0,Teatro Calderón,Madrid,Sí,https://www.entradas.com/artist/la-familia-addams/,False
La Historia Interminable,Beon Entertainment,2022,2024.0,Teatro Calderón,Madrid,Sí,https://www.beonworldwide.com/proyectos/la-historia-interminable/,False
La Jaula de las Locas,Nostromo Live,2018,2020.0,Teatro Tívoli,Barcelona,Sí,https://www.nostromolive.com/espectaculos/la-jaula-de-las-locas/,False
La Llamada,Suma Latina / Los Javis,2013,,Teatro Lara,Madrid,Sí,https://es.wikipedia.org/wiki/La_llamada_(musical),True
Los 40 El Musical,Smedia / Drive Entertainment,2009,2012.0,Teatro Rialto,Madrid,Sí,https://es.wikipedia.org/wiki/Los_40_El_Musical,False
Los Miserables,SOM Produce,2025,,Teatro Apolo (prev.),Madrid,No,https://www.stage.es/musicales/los-miserables,True
Los Miserables,Stage Entertainment,2010,2011.0,Teatro Lope de Vega,Madrid,Sí,https://www.stage.es/musicales/los-miserables,False
Los Pilares de la Tierra,Beon Entertainment,2024,,Teatro EDP Gran Vía,Madrid,Sí,https://www.beonworldwide.com/proyectos/los-pilares-de-la-tierra/,True
Los Productores,Nostromo Live,2023,2024.0,Teatro Tívoli,Barcelona,Sí,https://www.stage.es/musicales/los-productores,False
Los Productores,Stage Entertainment,2006,2006.0,Teatro Coliseum,Madrid,No,https://www.stage.es/musicales/los-productores,False
Mamma Mia!,SOM Produce,2022,,Teatro Rialto,Madrid,Sí,https://somproduce.com/musicales/mamma-mia/,True
Mamma Mia!,Stage Entertainment,2007,2009.0,Teatro Lope de Vega,Madrid,Sí,https://es.wikipedia.org/wiki/Mamma_Mia!_(musical)#Producciones_en_España,False
Mar i Cel,Dagoll Dagom,2004,2006.0,Teatre Victòria / Gira,Barcelona / Madrid,Sí,https://maricelelmusical.cat/,False
Matilda,SOM Produce,2022,2024.0,Nuevo Teatro Alcalá,Madrid,No,https://somproduce.com/musicales/matilda/,False
My Fair Lady,Stage Entertainment,2001,2002.0,Teatro Coliseum,Madrid,No,https://maricelelmusical.cat/,False
"Priscilla, reina del desierto",SOM Produce,2014,2015.0,Nuevo Teatro Alcalá,Madrid,Sí,https://somproduce.com/musicales/priscilla/,False
"Romeo y Julieta, el musical",Theatre Properties,2021,2024.0,La Latina,Madrid / Gira,Sí,https://www.carteleramusicales.es/madrid-provincia/romeo-y-julieta-un-amor-inmortal,False
School of Rock,Let's Go Company,2024,2024.0,Espacio Delicias,Madrid,No,https://es.wikipedia.org/wiki/School_of_Rock_(musical),False
Sister Act,Stage Entertainment,2015,2015.0,Teatro Nuevo Alcalá,Madrid,Sí,https://es.wikipedia.org/wiki/Sister_Act_(musical)#Producciones,False
Sonrisas y Lágrimas,Stage Entertainment,2007,2008.0,Teatro Coliseum,Madrid,Sí,https://es.wikipedia.org/wiki/Sonrisas_y_l%C3%A1grimas_(musical)#Producciones,False
The Book of Mormon,SOM Produce,2023,,Teatro Calderón / Rialto,Madrid,No,https://somproduce.com/musicales/the-book-of-mormon/,True
"The Full Monty, el musical",Theatre Properties,2022,2023.0,Teatro Rialto,Madrid,Sí,https://es.wikipedia.org/wiki/The_Full_Monty_(musical),False
The Hole,Let's Go Company,2011,2023.0,Teatro Calderón / Giras,Madrid,Sí,https://letsgo.es/the-hole/,False
